,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction
141,-2.56,1.75,-1.19,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
142,-2.56,1.75,-1.19,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
143,-1.75,1.44,-1.62,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
144,-1.75,1.44,-1.62,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
145,-1.75,1.44,-1.62,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
146,-1.75,1.44,-1.62,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
147,-2.56,1.44,-1.62,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
148,-2.56,1.44,-1.62,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
149,-2.56,1.44,-1.62,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
150,-2.56,1.44,-1.62,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
151,-2.25,4.50,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
152,-2.25,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
153,-2.25,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
154,-2.25,4.50,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
155,-2.62,3.12,-0.06,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
156,-2.62,3.12,-0.06,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
157,-2.62,3.12,-0.06,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
158,-2.62,3.12,-0.06,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
159,-1.75,1.75,-0.50,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
160,-1.75,1.75,-0.50,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
