,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Xgg,Ygg,Zgg,Xaa,Yaa,Zaa
30,0.12,0.47,-2.43,44.5,-132.63,7.69,-13.41,0.48,2.95,-0.71,0.01,0.67,0.24,572362.0,6622.0,W,-2.322395239,-0.413571094,2.325335075,2.679423213,0.178670317,-0.146342209,-0.022439024390243905,-0.0039024390243902435,0.01609756097560976,0.0,0.0,0.0
31,-0.8,0.31,-1.77,44.5,-132.63,7.69,-13.41,0.48,2.95,-0.71,0.01,0.67,0.24,572403.0,6663.0,W,-2.71839237,-0.342556972,2.253521494,2.531040332,0.45343159,0.081426942,-0.0071428571428571435,0.0033333333333333335,0.008333333333333335,0.0,0.0,0.0
32,-1.1,0.45,-1.42,44.5,-132.63,7.69,-13.41,0.48,2.95,-0.71,0.01,0.67,0.24,572445.0,6705.0,W,-3.118131495,-0.4602385,2.237317338,2.465042115,1.489852683,0.21295081,0.0,0.0,0.0,0.0921951219512195,-0.0521951219512195,-0.0007317073170731768
33,-1.1,0.45,-1.42,44.5,-132.63,7.69,-9.63,-1.66,2.92,-0.71,0.01,0.67,0.24,572486.0,6746.0,W,2.763435796,-0.688856894,2.146862395,2.528925756,1.134703359,0.12975326,0.0,0.0,0.0,-0.010243902439024389,0.0,-0.0039024390243902474
34,-1.1,0.45,-1.42,44.5,-132.63,7.69,-10.05,-1.66,2.76,-0.71,0.01,0.67,0.24,572527.0,6787.0,W,2.360517936,-0.985161166,1.946818455,2.694615379,0.518155293,-0.0840515,0.0,0.0,0.0,-0.005365853658536558,0.053170731707317065,0.025365853658536587
35,-1.1,0.45,-1.42,44.5,-132.63,7.69,-10.27,0.52,3.8,-0.71,0.01,0.67,0.24,572568.0,6828.0,W,1.956020547,-1.326221793,1.666391748,2.815372261,-0.144741138,-0.370105477,0.0,0.0,0.0,0.0,0.0,0.0
36,-1.1,0.45,-1.42,106.38,-105.44,22.0,-10.27,0.52,3.8,-0.71,0.01,0.67,0.24,572608.0,6868.0,W,1.548191611,-1.702686499,1.327800714,2.823609305,-0.762898535,-0.694584759,0.0,0.0,0.0,-0.02022727272727274,0.08636363636363636,0.055681818181818186
37,-1.1,0.45,-1.42,106.38,-105.44,22.0,-11.16,4.32,6.25,-0.71,0.01,0.67,0.24,572652.0,6912.0,W,1.134640601,-2.108845246,0.947371736,2.75626857,-1.318096438,-1.039811322,0.03904761904761905,-0.01880952380952381,0.07142857142857142,0.0,0.0,0.0
38,0.54,-0.34,1.58,106.38,-105.44,22.0,-11.16,4.32,6.25,-0.71,0.01,0.67,0.24,572694.0,6954.0,W,0.711302484,-2.540531163,0.537372542,2.661193532,-1.8197693,-1.398200954,0.0,0.0,0.0,-0.0419047619047619,-0.17785714285714288,-0.14404761904761904
39,0.54,-0.34,1.58,106.38,-105.44,22.0,-12.92,-3.15,0.2,-0.71,0.01,0.67,0.24,572736.0,6996.0,W,0.270767766,-2.992953256,0.109306436,2.57774218,-2.277199876,-1.765269545,0.0,0.0,0.0,0.07023809523809522,-0.0019047619047619065,0.016428571428571428
40,0.54,-0.34,1.58,106.38,-105.44,22.0,-9.97,-3.23,0.89,-0.71,0.01,0.67,0.24,572778.0,7038.0,W,-0.191968714,2.822024317,-0.32609987,2.538612296,-2.691758451,-2.138202042,0.0,0.0,0.0,0.019999999999999997,-0.006428571428571429,-0.013809523809523811
41,0.54,-0.34,1.58,106.38,-105.44,22.0,-9.13,-3.5,0.31,-0.71,0.01,0.67,0.24,572820.0,7080.0,W,-0.6711388,2.344613523,-0.759863936,2.562148687,-3.055766422,-2.515805956,0.0,0.0,0.0,0.0,0.0,0.0
42,0.54,-0.34,1.58,96.31,-120.81,34.63,-9.13,-3.5,0.31,-0.71,0.01,0.67,0.24,572861.0,7121.0,W,-1.149939399,1.867948314,-1.183112027,2.635947573,2.929283157,-2.902696403,0.0,0.0,0.0,-0.009767441860465114,0.008139534883720932,0.0009302325581395344
43,0.54,-0.34,1.58,96.31,-120.81,34.63,-9.55,-3.15,0.35,-0.71,0.01,0.67,0.24,572904.0,7164.0,W,-1.603369122,1.401389677,-1.586438631,2.717027879,2.721147396,2.93796368,-0.013414634146341465,0.009268292682926829,-0.03560975609756097,0.0,0.0,0.0
44,-0.01,0.04,0.12,96.31,-120.81,34.63,-9.55,-3.15,0.35,-0.71,0.01,0.67,0.24,572945.0,7205.0,W,-2.004708508,0.948815167,-1.961436587,2.766356362,2.636754582,1.617482064,0.0,0.0,0.0,0.005609756097560986,0.0009756097560975618,-0.001951219512195121
45,-0.01,0.04,0.12,96.31,-120.81,34.63,-9.32,-3.11,0.27,-0.71,0.01,0.67,0.24,572986.0,7246.0,W,-2.336134276,0.500531293,-2.305016673,2.78256925,2.669102383,-0.145176313,0.0,0.0,0.0,0.0,0.0,0.001951219512195121
46,-0.01,0.04,0.12,96.31,-120.81,34.63,-9.32,-3.11,0.35,-0.71,0.01,0.67,0.24,573027.0,7287.0,W,-2.604626433,0.01546353,-2.63376755,2.783400183,2.722555372,-0.471451774,0.0,0.0,0.0,0.0019512195121951237,0.0017073170731707278,0.0019512195121951224
47,-0.01,0.04,0.12,96.31,-120.81,34.63,-9.24,-3.04,0.43,-0.71,0.01,0.67,0.24,573068.0,7328.0,W,-2.797845009,-0.407979136,-2.935526881,2.791375251,2.757463585,-0.755369542,0.0,0.0,0.0,0.0,0.0,0.0
48,-0.01,0.04,0.12,102.44,-121.56,23.25,-9.24,-3.04,0.43,-0.71,0.01,0.67,0.24,573107.0,7367.0,W,-2.884482458,-0.511924523,3.078781256,2.836107408,2.780073454,-0.95847841,0.0,0.0,0.0,-0.0027906976744185865,0.0009302325581395357,-0.0027906976744186047
49,-0.01,0.04,0.12,102.44,-121.56,23.25,-9.36,-3.0,0.31,-0.71,0.01,0.67,0.24,573150.0,7410.0,W,-2.987381591,-0.606733853,2.744602704,2.932468158,2.910633492,-0.922085215,-0.0016666666666666668,-0.0019047619047619048,-0.000238095238095238,0.0,0.0,0.0
50,-0.08,-0.04,0.11,102.44,-121.56,23.25,-9.36,-3.0,0.31,-0.71,0.01,0.67,0.24,573192.0,7452.0,W,3.010222694,-0.850048643,2.382939326,3.037573536,-2.587005924,-0.887677029,0.0,0.0,0.0,-0.0007142857142857414,-0.0019047619047619065,-0.0035714285714285713
51,-0.08,-0.04,0.11,102.44,-121.56,23.25,-9.39,-3.08,0.16,-0.71,0.01,0.67,0.24,573234.0,7494.0,W,2.590105205,-1.156957347,2.025117459,3.064986549,-2.033528478,-1.0354869,0.0,0.0,0.0,-0.0018604651162790714,-0.002558139534883718,-0.000930232558139535
