,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,DirecFTion,SensorFTime,FTime,Label
88,0,0,-0.01,15.38,-108.56,-29.94,-9.24,-3,0.12,-0.71,0.01,0.67,0.24,569382,3642,FT
89,0,0,-0.01,15.38,-108.56,-29.94,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569425,3685,FT
90,0,0,-0.01,15.38,-108.56,-29.94,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569466,3726,FT
91,0,0,0.01,15.38,-108.56,-29.94,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569508,3768,FT
92,0,0,0.01,15.38,-108.56,-29.94,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569549,3809,FT
93,0,0,0.01,15.38,-108.56,-29.94,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569593,3853,FT
94,0,0,0.01,15.38,-108.56,-29.94,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569636,3896,FT
95,0,0,0.01,15.38,-108.56,-29.94,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569678,3938,FT
96,0,0,0.01,15.38,-108.56,-29.94,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569720,3980,FT
97,0,0,0.01,16.44,-108.19,-28.75,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569761,4021,FT
98,0,0,0.01,16.44,-108.19,-28.75,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569805,4065,FT
99,0,0.01,0,16.44,-108.19,-28.75,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569847,4107,FT
100,0,0.01,0,16.44,-108.19,-28.75,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569888,4148,FT
101,0,0.01,0,16.44,-108.19,-28.75,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569931,4191,FT
102,0,0.01,0,16.44,-108.19,-28.75,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569973,4233,FT
103,0,0.01,0,16.44,-108.19,-28.75,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,570013,4273,FT
104,0,0.01,-0.01,16.44,-108.19,-28.75,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,570055,4315,FT
105,0,0.01,-0.01,16.44,-108.19,-28.75,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,570097,4357,FT
106,0,0.01,-0.01,16.44,-108.19,-28.75,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,570138,4398,FT
107,0,0.01,-0.01,16.44,-108.19,-28.75,-9.2,-3,0.12,-0.71,0.01,0.67,0.24,570181,4441,FT
108,0,0.01,-0.01,16.44,-108.19,-28.75,-9.2,-3.04,0.12,-0.71,0.01,0.67,0.24,570223,4483,FT
109,0,0.01,-0.01,16.44,-108.19,-28.75,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,570263,4523,FT
110,0,0.02,-0.01,16.44,-108.19,-28.75,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,570305,4565,FT
111,0,0.01,-0.01,16.44,-108.19,-28.75,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,570348,4608,FT
112,0,0.01,-0.01,16.44,-108.19,-28.75,-9.2,-3.04,0.12,-0.71,0.01,0.67,0.24,570389,4649,FT
113,0,0.01,-0.01,16.44,-108.19,-28.75,-9.2,-3.08,0.08,-0.71,0.01,0.67,0.24,570432,4692,FT
114,0,0.01,-0.01,16.44,-108.19,-28.75,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,570475,4735,FT
115,0,0.01,-0.01,16.44,-108.19,-28.75,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,570516,4776,FT
116,0,0,0,16.44,-108.19,-28.75,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,570558,4818,FT
117,0,0,0,16.44,-108.19,-28.75,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,570599,4859,FT
118,0,0,0,16.44,-108.19,-28.75,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,570641,4901,FT
119,0,0,0,16.44,-108.19,-28.75,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,570684,4944,FT
120,0,0,0,16.44,-108.19,-28.75,-9.24,-3.04,0.16,-0.71,0.01,0.67,0.24,570726,4986,FT
121,0,0,0,16.44,-108.19,-28.75,-9.24,-3.11,0.04,-0.71,0.01,0.67,0.24,570767,5027,FW
122,0,0.04,-0.02,16.44,-108.19,-28.75,-9.24,-3.11,0.04,-0.71,0.01,0.67,0.24,570810,5070,FW
123,-0.01,0.04,-0.03,16.44,-108.19,-28.75,-9.24,-3.11,0.04,-0.71,0.01,0.67,0.24,570852,5112,FW
124,-0.01,0.04,-0.03,16.44,-108.19,-28.75,-9.2,-3.11,0.08,-0.71,0.01,0.67,0.24,570895,5155,FW
125,-0.01,0.04,-0.03,16.44,-108.19,-28.75,-9.2,-3.08,0.04,-0.71,0.01,0.67,0.24,570938,5198,FW
126,-0.01,0.04,-0.03,16.44,-108.19,-28.75,-9.2,-3.08,0,-0.71,0.01,0.67,0.24,570979,5239,FW
127,-0.01,0.04,-0.03,16.44,-108.19,-28.75,-9.16,-3.11,-0.03,-0.71,0.01,0.67,0.24,571021,5281,FW
128,-0.01,0.04,-0.03,8.69,-108.94,-17.44,-9.16,-3.11,-0.03,-0.71,0.01,0.67,0.24,571064,5324,FW
129,0,0.01,-0.02,8.69,-108.94,-17.44,-9.16,-3.11,-0.03,-0.71,0.01,0.67,0.24,571106,5366,FW
130,0,0.01,-0.02,8.69,-108.94,-17.44,-9.16,-3.15,-0.03,-0.71,0.01,0.67,0.24,571148,5408,FW
131,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.16,-3.15,-0.03,-0.71,0.01,0.67,0.24,571189,5449,FW
132,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.16,-3.19,-0.03,-0.71,0.01,0.67,0.24,571230,5490,FW
133,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.13,-3.15,0.16,-0.71,0.01,0.67,0.24,571272,5532,FW
134,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.13,-3.15,0.12,-0.71,0.01,0.67,0.24,571312,5572,FW
135,0.08,0.03,-0.01,8.69,-108.94,-17.44,-9.13,-3.15,0.12,-0.71,0.01,0.67,0.24,571353,5613,FW
